crashId,OnStreet,AtStreet,address,City,State,Country
0050017736,CRD SINCLAIR RD,CST MURFIELD DR,Columbia,Missouri,United States
0050017843,CST GRINDSTONE PKWY,CST FALLING LEAF LN,Columbia,Missouri,United States
0050017873,CST GARTH AVE,CST GARTH CT,Columbia,Missouri,United States
0050018257,CST CREASY SPRINGS,CST PROCTOR,Columbia,Missouri,United States
0050017714,CST BLUE RIDGE,CST RANGE LINE ST N,Columbia,Missouri,United States
0050017719,CST EL CORTEZ,CST BETHEL,Columbia,Missouri,United States
0050017863,CST COOPER DR,CST BUTTONWOOD DR,Columbia,Missouri,United States
0050017864,CST RASHID CT,CST PRIMROSE DR,Columbia,Missouri,United States
0050017880,CST VANDIVER DR,CST WABASH ST,Columbia,Missouri,United States
0050018744,CST TENTH ST,CST PARK AVE,Columbia,Missouri,United States
0050018782,CST VANDIVER,MO 163,Columbia,Missouri,United States
0050018752,CRD CREASY SPRINGS RD,CST PROCTOR ST,Columbia,Missouri,United States
0050018777,CST PARIS RD,CST ANN ST N,Columbia,Missouri,United States
0050017876,CST DOVE DR,CST ELK DR,Columbia,Missouri,United States
0050017884,CST OAKLAND,CST BROWN SCHOOL,Columbia,Missouri,United States
0050017731,CST PARKADE BLVD,CST GARTH,Columbia,Missouri,United States
0050017662,CST BLACKFOOT,UNKNOWN,Columbia,Missouri,United States
0050017842,CST BUTTONWOOD DR,CST COOPER DR,Columbia,Missouri,United States
0050017865,CST HICKMAN AVE,CST SEVENTH ST,Columbia,Missouri,United States
0050018250,CST WILKES BLVD,CST FAIRVIEW AVE,Columbia,Missouri,United States
0050018275,CST HAMILTON WAY,CST HITT ST,Columbia,Missouri,United States
0050018751,CST RALEIGH DR,CST CITADEL,Columbia,Missouri,United States
0050021177,CST OLD MILL CREEK RD,CRD OLD MILL CREEK TER,Columbia,Missouri,United States
0050018737,CST ST JOSEPH ST,CST ASH ST,Columbia,Missouri,United States
0050017879,CST ELLETA BLVD,CST JOLENE DR,Columbia,Missouri,United States
0050018721,CST LAWNRIDGE CT,CST BROWN STATION RD,Columbia,Missouri,United States
0050018805,CST FORUM,CST MILLS,Columbia,Missouri,United States
0050024004,CST FORUM BLVD,CST MILLS DR,Columbia,Missouri,United States
0050024029,CST LOCUST ST,CST NINTH ST S,Columbia,Missouri,United States
0050024006,CRD CREASY SPRINGS RD,PP CREASY SPRINGS RD,Columbia,Missouri,United States
0050024033,CRD NIKKI WAY,CST RENEE WAY,Columbia,Missouri,United States
0050023954,CST HAMPTON DR,CST ROYAL LYTHAM DR,Columbia,Missouri,United States
0050024001,CST NIFONG,CST SCOTT BLVD,Columbia,Missouri,United States
0050027536,CST ROCK QUARRY RD,CST GRINDSTONE PKWY,Columbia,Missouri,United States
0050027677,CST SANFORD AVE,UNKNOWN,Columbia,Missouri,United States
0050024005,CST BULL RUN RD,CST ST CHARLES RD,Columbia,Missouri,United States
0050024022,CST FORUM BLVD,CST SHORESIDE LN,Columbia,Missouri,United States
0050028208,CST CONLEY RD,CST TRIMBLE RD,Columbia,Missouri,United States
0050027666,CRD BEARFIELD RD,CST GRINDSTONE PKWY,Columbia,Missouri,United States
0050024021,CST GRINDSTONE,CST ROCK QUARRY,Columbia,Missouri,United States
0050024037,CST GRINDSTONE PKWY,CST ROCK QUARRY RD,Columbia,Missouri,United States
0050027664,CST ASH ST,CST BUCKNER ST,Columbia,Missouri,United States
0050027672,CRD BROWN SCHOOL RD,CST ROGER WILSON DR,Columbia,Missouri,United States
0050027716,CST KEENE,CST WINGATE CT,Columbia,Missouri,United States
0050024036,CST GRINDSTONE PKWY,CST ROCK QUARRY RD,Columbia,Missouri,United States
0050028215,CST STRAWN RD,CST BROADWAY ST,Columbia,Missouri,United States
0050028851,CST CHAMPIONS DR,CST STADIUM BLVD,Columbia,Missouri,United States
0050026776,CST GRINDSTONE PKWY,CST PONDEROSA DR,Columbia,Missouri,United States
0050027670,ALY TENTH ST,CST BROADWAY E,Columbia,Missouri,United States
0050027728,CST WILKES,CST PANNELL,Columbia,Missouri,United States
0050027535,CST GREEN MEADOWS CIR,CST GREEN MEADOWS RD,Columbia,Missouri,United States
